# =====================================================================
# Principle: Type-directed forward collection halts on type mismatch.
# =====================================================================
#
# Per LANGREF.10.md ('Type-directed collection'):
#
#   'Each word declares the types of arguments it accepts. Suffix
#    collection checks each incoming value against the expected type.
#    If the type does not match, collection stops — the word
#    executes with whatever prefix arguments it already had, and
#    the unmatched value stays on the stack.'
#
# The cited example was `upper 'hello' 42` →  `'HELLO' 42`. We don't
# have `upper` in the spec runner, but the same principle applies
# to any 1-arg or N-arg word: once a forward token's type fails the
# next sig position, the scan stops and the word fires with what
# it has (possibly falling back to the stack for the remainder).
# Tokens past the mismatch point stay on the stack as residual
# values.
#
# Rules being asserted
# --------------------
# 1. A 1-arg forward-prec word followed by ITS arg type, then by an
#    UNRELATED type, executes with the matched arg and leaves the
#    extra on the stack.
# 2. A 2-arg word with one matching forward token followed by a
#    mismatching one MAY succeed if the stack supplies the missing
#    slot — the matchSignature step 2 fills from the stack top-down
#    after the forward scan stops.
# 3. The same 2-arg word with neither stack value nor a matching
#    forward token errors with signature_error.
# 4. The 'stop' is positional, not type-membership-aware: once
#    collection stops, the matcher does NOT keep scanning further
#    forward looking for another candidate.
# 5. A forward-prec word followed only by mismatching tokens (and
#    no stack to fall back on) errors. The earlier `addq nope 3`
#    row in errors.tsv is one variant; this file extends the picture.
#
# Why this matters
# ----------------
# Type-directed termination is what allows mixed-type sequences to
# coexist on the stack without forcing the user to insert `end`
# everywhere. For example `not true 42` is a valid program — `not`
# takes a Boolean, gets one, fires, and the `42` Integer stays as
# residue. If termination weren't type-directed, the user would
# have to write `not true end 42`.
#
# The flip side is the 'implicit end' footgun: a typo where the
# intended next forward arg has the wrong type silently leaves it
# on the stack instead of failing loudly. The engine prioritises
# permissive composition over loud error detection here. Pin the
# rule down so the trade-off is visible to spec readers.

# === Test fixtures (defined in eng/go/spec_test.go::registerSpecWords) ===
#   addq     — [Number Number] forward-prec — args[1] + args[0] (decimal contagion)
#   concatq  — [String String] forward-prec — args[1] + args[0] (string concat)
#   firstq   — [List] forward-prec — first element or None for empty list
#   lengthq  — [List] forward-prec — list length as Integer
#   negq     — [Number|] BarrierPos=1 — unary -args[0]; preserves Integer/Decimal tag
# === end fixtures ===

# tokens	expected	note

# 1. 1-arg forward word + matching arg + extra residue.
not true 42	false 42	not consumes the Boolean true → false; 42 stays on the stack
not false 'hello'	true 'hello'	same shape with string residue
negq 5 'extra'	-5 'extra'	negq consumes 5 (fwd-scan sees Number, fwd=1, then 'extra' String fails Number — break); 'extra' stays
lengthq [ 1 2 ] 99	2 99	lengthq consumes the list; 99 is the residue
firstq [ 7 ] 'post'	7 'post'	first consumes the list; 'post' stays

# 2. 2-arg word: one forward arg, mismatch, stack fills the rest.
1 addq 2 'stop'	3 'stop'	addq: fwd=1 (matches Integer '2'), then 'stop' fails Integer match — break. Stack=[1]. remaining=1, sig[1]=1 (top). addq(2,1)=3. 'stop' stays.
'a' concatq 'b' 99	'ab' 99	concatq: fwd=1 ('b'), 99 fails String at sig[1] — break. Stack=['a']. sig[0]='b' (fwd), sig[1]='a' (stk). handler returns b+a = 'a'+'b' = 'ab'. 99 stays as residue.
'a' 'b' concatq 99	'ab' 99	all-prefix concatq with stack [a,b], top='b'; 99 fails String fwd match → break at fwd=0. sig=[b, a] → handler returns 'a'+'b' = 'ab'. 99 residue.

# 3. 2-arg word: no stack, mismatching forward → signature error.
addq 'stop'	ERROR:signature	addq expects Integer Integer; 'stop' fails sig[0]
addq true 5	ERROR:signature	first forward token is Boolean, fails Integer at sig[0]
concatq 5 'x'	ERROR:signature	5 is Integer, fails String at sig[0]

# 4. Mismatch is positional — the matcher doesn't search further.
addq 1 'stop' 2	ERROR:signature	scan: fwd=1 (1 matches), then 'stop' fails sig[1] — break at fwd=1. No stack to fill remaining. ERROR. The trailing 2 (which DOES match Integer) is NOT auto-promoted.
addq 1 true 2	ERROR:signature	same shape with boolean mismatch; trailing 2 not picked up

# 5. Pre-existing prefix saves the chain.
2 addq 1 'stop'	3 'stop'	stack=[2]; addq forward 1 then mismatch on 'stop'. fwd=1 (matches sig[0]=Integer). break. remaining=1. Top=2 → sig[1]. addq(1,2)=3. 'stop' stays.

# `not` accepting Boolean, residue is type literal None.
not true none	false none	null (None type literal) is NOT a Boolean, stays on stack as residue

# Forward arg of correct type immediately after a satisfied word.
not true not false	false true	first not consumes true → false; second not consumes false → true. Two booleans on the stack.
