# boru Language Specification: Value reads (valof / /v)
# Format: input<TAB>expected<TAB>description
#
# valof name → resolve a name to its bound VALUE, disabling any call the
#              name would induce. Companion to the `/v` word suffix.
# name/v     → the same operation as a suffix.
#
# `valof` and `/v` are ONE operation and must behave identically in every
# position. A bare reference is INERT at the reference site: it is left on
# the stack as an (unquoted) Function value and is never auto-invoked —
# not even a 0-arg fn. The SAME value dispatches normally when it is
# re-stepped elsewhere: unwrapped from a paren, retrieved from a map slot,
# or handed to `apply`.
#
# `valof` is TOTAL over every binding kind: for a fn binding it suppresses
# the call, and for any other binding it is the identity. There is no
# function-only gate — that totality is the point, because it is what
# lets ONE spelling read a slot whose kind is not known statically
# (NUR085, resolved by this rule). The only refusal left is an UNBOUND
# name, which has no value to take: [boru/undefined_word].
#
# ─────────────────────────────────────────────────────────────────────
# §1  Bare reference is inert (held) — `valof` ≡ `/v`, no auto-fire
def z fn [[][Integer][42]]  z/v	fn [[][Integer][42]]	bare /v holds a 0-arg fn — NOT fired
def z fn [[][Integer][42]]  valof z	fn [[][Integer][42]]	bare valof holds identically (no re-step)
def inc fn [[n:Integer][Integer][n add 1]]  typeof (inc/v)	Function	a held reference is a Function value
def inc fn [[n:Integer][Integer][n add 1]]  typeof (valof inc)	Function	valof yields a Function value
#
# §2  The held value dispatches when RE-STEPPED (paren unwrap)
def z fn [[][Integer][42]]  (z/v)	42	paren re-steps the 0-arg fn → fires
def z fn [[][Integer][42]]  (valof z)	42	valof fires when re-stepped — same as /v
def inc fn [[n:Integer][Integer][n add 1]]  (inc/v) 5	6	grouped 1-arg reference dispatches
def inc fn [[n:Integer][Integer][n add 1]]  (valof inc) 5	6	valof dispatches when re-stepped
def sub2 fn [[a:Integer b:Integer][Integer][a sub b]]  (sub2/v) 10 3	7	grouped 2-arg reference dispatches
def sub2 fn [[a:Integer b:Integer][Integer][a sub b]]  (valof sub2) 10 3	7	valof ≡ /v for a 2-arg fn
#
# §3  Reference stored in a map slot dispatches via dot-access
def inc fn [[n:Integer][Integer][n add 1]]  def ops {f: inc/v}  ops.f 5	6	/v in a map slot dispatches
def inc fn [[n:Integer][Integer][n add 1]]  def ops {f: (valof inc)}  ops.f 5	6	valof in a map slot dispatches
def z fn [[][Integer][42]]  def ops {f: z/v}  (ops.f)	42	a 0-arg /v in a map slot courtesy-dispatches on the read (break 2: compiled as an arity-0 dyn-method apply)
def z fn [[][Integer][42]]  def ops {f: z/v}  ops.f	42	the bare 0-arg read courtesy-dispatches too
def z fn [[][Integer][42]]  def ops {f: z/v}  (ops get f/q) add 1	43	the get spelling of the same 0-arg read, consumed downstream
