# tokens	expected	note
# =====================================================================		
# class — nominal type with fields, inheritance, and instantiation
# =====================================================================
# `class {field:Type …}` builds a class type — boru's
# inheritance-aware type form. Class types can be:
#
#   - anonymous       — `class {a:String}` produces an unnamed
#                       Type with an internal ID (Class/T_…).
#   - named           — `def Foo (class {a:String})` installs Foo		
#                       on the type stack.		
#   - inheriting      — `def Bar (refine Foo {b:Integer})` extends		
#                       Foo with new fields. The result type ID is
#                       `Class/Foo/Bar` and the instance carries
#                       both Foo's and Bar's field constraints.
#		
# Instantiation goes via `make NAME data`. The result is a typed
# class instance that:
#   - renders as `Class/<path>{k:v,…}`,
#   - reports `typeof` as the named type,		
#   - supports dotted field access (`.field`),		
#   - satisfies parent-type `is` checks.		
#		
# Field validation: `make` checks that `data` carries every required		
# field with values that satisfy each declared type. Missing fields		
# raise an error.		
#		
# Runs against the production lang registry (test/go/langspec).		
#		
# === Test fixtures (q-suffixed spec-runner words) ===		
#   addq    — [Number Number] forward-prec — args[1] + args[0]		
#   lengthq — [List] forward-prec — list length		
# === end fixtures ===		
		
		
# ====================================================================		
# 1. Anonymous class types
# ====================================================================
# `class {fields}` produces a Type with a synthesized
# internal name (Class/T_…). The exact ID is non-deterministic, so
# this section relies on type-stable assertions (typeof, is) rather		
# than literal string comparison.		
		
# An anonymous Type reports its `typeof` as a synthesised name		
# (Class/T_xxx) — the internal ID used to disambiguate anonymous
# instances. Tests can't pin the exact ID, so this section uses		
# named types in subsequent rows. Bare construction succeeds:		
lengthq [ class { a:Integer } ]	1	the constructor produces exactly one stack value
lengthq [ class { a:String b:Boolean } ]	1	multi-field anonymous still produces one value
lengthq [ class { } ]	1	empty-field is allowed
		
# ====================================================================		
# 2. Named class types via `def NAME (class {…})`
# ====================================================================		
# `def NAME class {…}` binds the named class type; once bound		
# the bare name resolves to the Type value at that name.		
		
def Foo (class { a:String }) typeof Foo	Class	typeof is one Parent hop uniformly (§6; NUR094 retired): a root class answers Class; the self-name question is `canon Foo`
def Foo (class { a:String b:Boolean }) typeof Foo	Class	multi-field named type — same uniform hop
		
# ====================================================================		
# 3. Instantiation via `make`		
# ====================================================================		
# `make NAME data` validates each declared field against `data` and
# returns a typed class instance.
		
def Foo (class { a:String }) make Foo { a:'hi' } typeof	Foo	the made value's typeof is the type name
def Foo (class { a:String b:Integer }) make Foo { a:'hi' b:9 } typeof	Foo	
		
# Missing required field → error.		
def Foo (class { a:String }) make Foo { }	ERROR:missing field	make rejects missing fields
		
# ====================================================================		
# 4. Field access via dotted accessor		
# ====================================================================		
# Class instances support the same `.field` syntax that maps do.
		
def Foo (class { a:String }) ( make Foo { a:'hi' } ) .a	'hi'	
def Foo (class { a:String b:Integer }) ( make Foo { a:'x' b:7 } ) .a	'x'	
def Foo (class { a:String b:Integer }) ( make Foo { a:'x' b:7 } ) .b	7	
		
# Chained field access — an instance whose field is another instance.
def Inner (class { v:Integer }) def Outer (class { i:Inner }) ( make Outer { i:( make Inner { v:99 } ) } ) .i .v	99	
		
# ====================================================================		
# 5. Inheritance		
# ====================================================================		
# `def Child (refine Parent {fields})` makes Child inherit from		
# Parent. The full type path is `Class/Parent/Child` and Child
# instances carry both sets of fields.		
		
# Path / structure inspection — typeof reports the most-specific name.		
def Foo (class { a:String }) def Bar (refine Foo { b:Integer }) typeof Bar	Foo	typeof of a subclass is its parent class (§6 uniform hop)
		
# A Bar instance satisfies Foo (parent) via `is`.		
def Foo (class { a:String }) def Bar (refine Foo { b:Integer }) make Bar { a:'x' b:9 } is Foo	true	Bar inherits Foo's contract
		
# Multi-level inheritance.		
def A (class { a:Integer }) def B (refine A { b:Integer }) def C (refine B { c:Integer }) make C { a:1 b:2 c:3 } is A	true	C extends B extends A
def A (class { a:Integer }) def B (refine A { b:Integer }) def C (refine B { c:Integer }) make C { a:1 b:2 c:3 } typeof	C	
		
# Inherited field access — Foo's `a` is reachable on a Bar instance.		
def Foo (class { a:String }) def Bar (refine Foo { b:Integer }) ( make Bar { a:'x' b:9 } ) .a	'x'	
def Foo (class { a:String }) def Bar (refine Foo { b:Integer }) ( make Bar { a:'x' b:9 } ) .b	9	
		
# ====================================================================		
# 6. Composition with def		
# ====================================================================		
# A made instance can be captured by `def`. The bound name then		
# substitutes the instance value at every use site.		
		
def Foo (class { a:String }) def f ( make Foo { a:'hi' } ) f .a	'hi'	def-captured class instance preserves type & fields
def Foo (class { a:Integer }) def f ( make Foo { a:42 } ) f .a addq 8	50	field access composes with arithmetic
		
# ====================================================================		
# 7. Multiple instances		
# ====================================================================		
# Each `make` call yields a fresh class instance; they're independent.
		
def Foo (class { a:Integer }) def x (make Foo { a:1 }) def y (make Foo { a:2 }) ( x .a ) addq ( y .a )	3	
		
# ====================================================================		
# §  The former open Object container and fixed Array were removed;		
#    `flex {…}` / `flex […]` are the mutable containers now (they set in		
#    place). Immutable Nodes (Map, List) return the updated COPY from		
#    set; the receiver is untouched — the flex nodes cover the		
#    mutable-container role.		
		
# §  List copy-returning set		
def xs [1 2 3] end def ys (xs set 0 99) end ys	[99 2 3]	List set is copy-returning — a NEW list
def xs [1 2 3] end def ys (xs set 0 99) end xs	[1 2 3]	…and the receiver is untouched (immutable column)
[1 2] set 5 9	ERROR:index_out_of_range	List set rejects out-of-range indices loudly
#
# §X  an anonymous class instance (nil/empty TypeRef) must render, not
#     crash — formatting an unnamed instance was once a SIGSEGV (bloom report #3)
