# =====================================================================
# Principle: 2-arg surface arrangements split into two equivalence
# classes by the matching algorithm.
# =====================================================================
#
# AQL has SIX surface arrangements for any 2-arg word `f` applied to
# values X and Y:
#
#   f X Y      f Y X      X f Y      Y f X      X Y f      Y X f
#
# The unified §1.4 matching algorithm assigns each arrangement to one
# of two equivalence classes based on what (args[0], args[1]) the
# handler ultimately receives:
#
#   - forward-collected args fill sig[0..F-1] in source order, then
#   - stack-resident args fill sig[F..N-1] from the top down.
#
# For X = 10, Y = 3 this gives:
#
#   sig=[3, 10]  ←  10 subq 3   (stk=[10], fwd=[3])
#                   10 3 subq   (stk=[10, 3] top=3, deeper=10)
#                   subq 3 10   (fwd=[3, 10])
#
#   sig=[10, 3]  ←  3 subq 10   (stk=[3],  fwd=[10])
#                   3 10 subq   (stk=[3, 10] top=10, deeper=3)
#                   subq 10 3   (fwd=[10, 3])
#
# The handler convention is `result = b op a` where `a = args[0]`
# and `b = args[1]` (mirrors the production engine's
# numericBinaryHandler in `lang/internal/engine/native_math.go`, where
# every non-commutative binary handler computes `b - a`, `b + a`, etc).
#
# So subq with sig=[3, 10] returns 10 - 3 = 7, and with sig=[10, 3]
# returns 3 - 10 = -7. The natural infix reading `10 subq 3 → 7`
# (analogous to `10 - 3`) follows directly from this convention.
#
# There is NO 'swap form'. Every arrangement is an equally valid
# surface syntax; the matching algorithm just maps each one to a
# specific (args[0], args[1]) pair.
#
# Why this matters
# ----------------
# The matching algorithm is the most-cited contract in the language
# — every infix-style call site in user code depends on it. Pinning
# both equivalence classes (rather than just one of them as
# 'canonical') in regression rows means a refactor that flips the
# class assignment for any single arrangement surfaces here at PR
# time.

# === Test fixtures (defined in eng/go/spec_test.go::registerSpecWords) ===
#   concatq  — [String String] forward-prec — args[1] + args[0] (string concat)
#   subq     — [Number Number] forward-prec — args[1] - args[0] (decimal contagion)
# === end fixtures ===

# tokens	expected	note

# Class A (sig=[3, 10] for X=10, Y=3): result = 10 - 3 = 7.
# These three arrangements are equivalent by the matching algorithm.
10 subq 3	7	infix: stk=[10], fwd=[3] → sig[0]=3 (fwd), sig[1]=10 (stk) → handler returns 10-3
10 3 subq	7	postfix: stk=[10, 3] with 3 on top → sig[0]=3 (top), sig[1]=10 (deeper) → 10-3
subq 3 10	7	prefix: fwd=[3, 10] in source order → sig[0]=3, sig[1]=10 → 10-3 — same class as the two above; intentional that the prefix form lists the 'right operand' first

# Class B (sig=[10, 3] for X=10, Y=3): result = 3 - 10 = -7.
# These three arrangements are also equivalent — they just map to
# the other (args[0], args[1]) ordering.
subq 10 3	-7	prefix: fwd=[10, 3] → sig=[10, 3] → handler returns 3-10
3 subq 10	-7	infix: stk=[3], fwd=[10] → sig[0]=10 (fwd), sig[1]=3 (stk) → 3-10
3 10 subq	-7	postfix: stk=[3, 10] with 10 on top → sig[0]=10, sig[1]=3 → 3-10

# Cross-check with `concatq` (also non-commutative, also a forward-prec
# handler computing `b + a`). Class A produces 'hello world', class B
# produces ' worldhello'.
'hello' concatq ' world'	'hello world'	infix: handler returns 'hello'+' world' via sig=[' world', 'hello']
'hello' ' world' concatq	'hello world'	postfix
concatq ' world' 'hello'	'hello world'	prefix (note the arg order)
concatq 'hello' ' world'	' worldhello'	prefix in the OTHER class
' world' concatq 'hello'	' worldhello'	infix in the OTHER class
' world' 'hello' concatq	' worldhello'	postfix in the OTHER class
