# tokens	expected	note
# =====================================================================		
# map — key/value associative collection		
# =====================================================================		
# A map is AQL's associative type: insertion-ordered key:value pairs		
# produced by `{…}` literal syntax. Maps come in three structurally-		
# similar but semantically distinct flavours:		
#		
#   1. Concrete map        `{a:1 b:2}` — actual data; VType=Map.		
#   2. Implicit shape       `{a:Integer b:String}` — every value is a		
#                           type literal; the parser flags it as a		
#                           Node-family TYPE for record-shape `is`		
#                           checks.		
#   3. Typed map            `{: T …}` — child-type constraint applied		
#                           to every value.		
#		
# This file covers all three plus the runtime accessors (`.key`		
# dotted, `get`), and rejection of carrier / type-literal arguments.		
		
		
# ====================================================================		
# 1. Construction and rendering		
# ====================================================================		
		
{ }	{}	empty map literal
{ a:1 }	{a:1}	single entry
{ a:1 b:2 }	{a:1 b:2}	two entries — insertion order preserved
{ a:1 b:2 c:3 }	{a:1 b:2 c:3}	three entries
# Note: at runtime the map's keys are emitted in sorted order rather		
# than literal-source order, so multi-key examples in this file use		
# already-sorted source for clarity.		
{ age:30 name:'Alice' }	{age:30 name:'Alice'}	heterogeneous values
{ a:[ 1 2 ] b:{ x:9 } }	{a:[1 2] b:{x:9}}	nested list and map values
		
# ====================================================================		
# 2. Type-system inspection		
# ====================================================================		
		
typeof { }	Map	empty map
typeof { a:1 b:2 }	Map	concrete map
typeof Map	Node	bare Map type literal → metatype
typeof { a:Integer }	Map	implicit shape — every value is a type → record-shape
		
# `is Map` for concrete maps.		
{ a:1 b:2 } is Map	true	
{ } is Map	true	
		
# Concrete map is not a list / scalar.		
{ a:1 } is List	false	
{ a:1 } is Integer	false	
		
# A bare Map type literal at concrete-payload sigs raises		
# signature_error before the handler runs.		
reverse Map	ERROR:signature_error	
		
# ====================================================================		
# 3. Implicit-map record shape — `is` against `{k:Type …}`		
# ====================================================================		
# When the parser builds a map literal whose every value is a type		
# literal, the result is a record-SHAPE (not concrete data). `is`		
# tests structural conformance: the candidate map must have at least		
# every required key, and each shared key's value must satisfy the		
# type at that key in the shape.		
		
# Single-field shape.		
{ a:5 } is { a:Integer }	true	concrete value satisfies declared type
{ a:'x' } is { a:Integer }	false	String does not satisfy Integer
{ b:5 } is { a:Integer }	false	missing key fails
		
# Two-field shape.		
{ a:5 b:'x' } is { a:Integer b:String }	true	both fields satisfy
{ a:'y' b:'x' } is { a:Integer b:String }	false	a is wrong type
{ a:5 b:7 } is { a:Integer b:String }	false	b is wrong type
		
# Subtype satisfaction.		
{ x:5 } is { x:Number }	true	Integer is a Number subtype
{ x:5.0 } is { x:Number }	true	Decimal is a Number subtype
		
# Nested record shapes.		
{ inner:{ x:5 } } is { inner:{ x:Integer } }	true	depth-2 unification
{ inner:{ x:'y' } } is { inner:{ x:Integer } }	false	nested type mismatch
		
# ====================================================================		
# 4. Typed map — `{: T …}`		
# ====================================================================		
# `{: T}` is a TYPE literal whose every value-slot is constrained to		
# T. `{: T k0:v0 k1:v1 …}` is a concrete typed-map; each value is		
# checked against T at construction.		
		
typeof {: Integer }	Map	the bare typed-map form is a Node-family TYPE
		
# Concrete typed map satisfies its own type form.		
