# NUR031 Module-descriptor equality — the descriptor is an identity-equal
# opaque handle (resolved 2026-08-02): eq and deq both compare the boxed
# *ModuleDesc pointer, so a descriptor is finally reflexive and two
# descriptors of different modules are unequal.
#
# These rows are semantically GREEN on the interpreter and compile-REFUSED
# on a PRE-EXISTING limitation that has nothing to do with equality: a
# `$module` synthetic read has no bakeable operand home, so the operand
# reaching `eq`/`deq` carries no static provenance ("operand of unknown
# provenance or not statically materialisable"). The same refusal fires on
# the pre-fix binary for the identical shape — the fix changed the ANSWER
# (false → true), not the compile status. Sound interpreter fallback
# (differential-clean), so the ratcheted main corpus does not own them.
#
# Graduation = a static provenance representation for the module-namespace
# synthetics ($module / $name), the same family as the capture-namespace
# ledger entry. At that point delete these ledger entries and move the rows
# into lang/spec/edge-modules-1.tsv (the eq/deq block) and
# lang/spec/compare-restrict.tsv (the NUR031 section).

# --- reflexivity: the defect this record closed --------------------------
import module [export "M" {a:1}] M.$module eq M.$module	true	a Module descriptor is reflexively eq — an identity-equal opaque handle
import module [export "M" {a:1}] M.$module deq M.$module	true	…and reflexively deq: identity IS its deep value, like the timer handles

# --- distinct instances are never equal ----------------------------------
import module [export "A" {x:1}] import module [export "B" {y:2}] A.$module eq B.$module	false	two module instances are never eq…
import module [export "A" {x:1}] import module [export "B" {y:2}] A.$module deq B.$module	false	…nor deq — identity-only, the descriptors' contents are never compared

# --- one module, many namespaces: ONE shared descriptor ------------------
import module [export "A" {x:1} export "B" {y:2} export "C" {z:3}] A.$module eq C.$module	true	the shared instance is also eq — the eq analogue of the shared-instance `is` row
import module [export "A" {x:1} export "B" {y:2}] A.$module deq B.$module	true	…and deq mirrors eq: identity IS the descriptor's deep value
import "boru:test" Test.$module eq Assert.$module	true	the same holds for a native module's sibling namespaces

# --- the deq-keyed collection path ---------------------------------------
import "boru:array-util" import module [export "A" {x:1} export "B" {y:2}] import module [export "C" {z:3}] size (ArrayUtil.unique [A.$module B.$module C.$module])	2	the deq scan merges the SHARED descriptor (A/B — one instance) and keeps the distinct one (C)

# --- identity is per-import-instance -------------------------------------
import "boru:string-util" import "boru:string-util" StringUtil.$module eq StringUtil.$module	true	a cache no-op: the binding keeps its ONE descriptor instance across a repeat import
import "boru:string-util" def a StringUtil.$module undef StringUtil import "boru:string-util" a eq StringUtil.$module	false	GOTCHA: re-import after undef REBUILDS the binding with a FRESH descriptor — identity is per-import-instance
