# AQL Language Specification: Open words — scoped `def` extension of existing words
# Format: input<TAB>expected<TAB>description
#
# design/OPEN-WORDS.0.md: `def <word> fn […]` on a word that carries
# LOCKED signatures (every natively registered word) MERGES the fn's
# signatures into a word CLONE bound through the ordinary def shadow
# stack — scoped like every other def (fn body / module body / top
# level), popped by `undef`, inherited by sub-engines, captured by
# closures. Locked signatures sort first in match order, so no
# previously-valid call changes its dispatch; a merge tuple exactly
# matching a locked tuple is refused ([aql/locked_signature]); sealed
# words (def / make / word — the kernel's name-keyed identities) refuse
# entirely ([aql/reserved_word]). A module exports its merged word like
# any other fn (`export "M" {add: add/r}`) and `import` TRANSPLANTS the
# extension one level into the importing registry; re-export is the
# opt-in for transitivity, and the inline-module firewall is the
# opt-out. Plain user fns (no locked sigs) keep whole-replacement
# shadowing — the REPL/iterate idiom.
#
# ─────────────────────────────────────────────────────────────────────
# §1  the merge — top level
def add fn [[a:Boolean b:Boolean] [Boolean] [a or b]]  add true false	true	a merged signature dispatches on the extended word
def add fn [[a:Boolean b:Boolean] [Boolean] [a or b]]  add 1 2	3	locked native dispatch is unchanged inside the extending scope
def add fn [[a:Integer b:Integer] [Integer] [99]]  add 1 2	3	locked-first: an unlocked tuple overlapping a locked family can never pre-empt the locked match — previously-valid calls are byte-identical
add true false	ERROR:signature_error	an engine without the merge errors exactly as today (negative twin of §1 row 1)
def add fn [[a:Boolean b:Boolean] [Boolean] [a or b]]  do [add true false]	true	a top-level merge is visible to sub-engines, like any top-level def
def add fn [[a:Boolean b:Boolean] [Boolean] [a or b]]  [false true] each [add true]	[true true]	higher-order bodies see the merge too
#
# ─────────────────────────────────────────────────────────────────────
# §2  the merge — fn-body scope (body-local def, torn down at exit)
def f fn [[x:Boolean] [Boolean] [def add fn [[a:Boolean b:Boolean] [Boolean] [a or b]] add x false]]  f true	true	a fn-body merge extends the word inside the body
def f fn [[x:Boolean] [Boolean] [def add fn [[a:Boolean b:Boolean] [Boolean] [a or b]] add x false]]  (f true) add true false	ERROR:signature_error	the body-local merge is INVISIBLE after fn exit (negative twin)
def g fn [[] [Function] [def add fn [[a:Boolean b:Boolean] [Boolean] [a or b]] ([x:Boolean] => [add x false])]]  def h (g)  h true	true	closure capture: a lambda constructed inside a fn-scoped merge keeps the merge after the scope exits (the uniform closure rule, §4.3)
#
# ─────────────────────────────────────────────────────────────────────
# §3  locked and sealed refusals
def add fn [[a:Number b:Number] [Number] [a]]	ERROR:locked_signature	a merge tuple exactly matching a LOCKED signature can never replace it
def def fn [[x:Integer] [Integer] [x]]	ERROR:reserved_word	`def` is sealed — the kernel relies on its name identity
def make fn [[x:Integer] [Integer] [x]]	ERROR:reserved_word	`make` is sealed (autoEvalMap gating keys on the name)
def word fn [[x:Integer] [Integer] [x]]	ERROR:reserved_word	`word` is sealed (splice-paren expansion keys on the name)
def add 42	ERROR:reserved_word	a NON-fn body on a built-in stays a refused redefinition — only fn merges open the word
undef add	ERROR:reserved_word	undef of a built-in with no extension present stays refused
#
# ─────────────────────────────────────────────────────────────────────
# §4  unlocked replacement and undef unwinding
def add fn [[a:Boolean b:Boolean] [Boolean] [a or b]]  def add fn [[a:Boolean b:Boolean] [Boolean] [a and b]]  add true false	false	re-merging the same UNLOCKED tuple replaces it in scope
def add fn [[a:Boolean b:Boolean] [Boolean] [a or b]]  def add fn [[a:Boolean b:Boolean] [Boolean] [a and b]]  undef add  add true false	true	undef pops the replacement, restoring the previous merge
def add fn [[a:Boolean b:Boolean] [Boolean] [a or b]]  undef add  add 1 2	3	undef pops the merge; the base word is intact
def add fn [[a:Boolean b:Boolean] [Boolean] [a or b]]  undef add  add true false	ERROR:signature_error	undef pops the merge; the added tuple is gone (negative twin)
undef add (fnsig [[Number Number] [Number]])  add 1 2	3	targeted signature-undef never removes a locked (native) signature
def add fn [[a:Boolean b:Boolean] [Boolean] [a or b]]  undef add (fnsig [[Boolean Boolean] [Boolean]])  add true false	true	targeted signature-undef leaves a word-extension clone intact (it carries locked sigs); plain `undef add` is the retraction
#
# ─────────────────────────────────────────────────────────────────────
# §5  plain user fns keep whole-replacement shadowing (§4.1)
def f fn [[a:Integer] [Integer] [1]]  def f fn [[a:Integer] [Integer] [2]]  f 5	2	re-def of a plain user fn with the same tuple REPLACES it (the REPL idiom) — no merge semantics without locked sigs
#
# ─────────────────────────────────────────────────────────────────────
# §6  module scope: extending a core word REQUIRES a user type (§4.4b)
#
# A module may extend a core word only with at least one user-defined
# (non-kernel) argument type per signature. An all-kernel tuple would
# change what core calls mean for every importer (`add 1 {}` suddenly
# working) and breaks forward compatibility the day core claims the
# tuple as a locked signature. Top-level programs are unrestricted
# (§1); external-builtin domain types (Date, Matrix, …) anchor a
# module's signature just like a minted user type.
import module [def add fn [[a:Boolean b:Boolean] [Boolean] [a or b]] export "M" {add: add/r}]	ERROR:extend_user_type	a module cannot extend a core word with an all-core tuple
import module [def add fn [[a:Integer b:Map] [Integer] [1]] export "M" {add: add/r}]	ERROR:extend_user_type	`add 1 {}` can never start working because of an import
import module [def add fn [[a:Boolean b:Boolean] [Boolean] [a or b]] export "M" {x:1}]	ERROR:extend_user_type	refused at the module-body def itself — even a module-PRIVATE all-core extension breaks when core later claims the tuple
import module [def Flag (refine Boolean) def add fn [[a:Integer b:Flag] [Boolean] [true]] def mk fn [[b:Boolean] [Flag] [def v:Flag b v]] export "M" {add: add/r mk: mk/r}]  add 1 (M.mk true)	true	a MIXED tuple qualifies — one user type anchors the signature
import module [def add fn [[a:Date b:Date] [Boolean] [true]] export "M" {add: add/r}]  import "aql:time-util"  add TimeUtil.today TimeUtil.today	true	an external-builtin domain type (Date) anchors a module extension — the §6 migration shape
#
# ─────────────────────────────────────────────────────────────────────
# §7  export transplant — one level, opt-in transitivity (user-typed)
import module [def Flag (refine Boolean) def add fn [[a:Flag b:Flag] [Boolean] [a and b]] def mk fn [[b:Boolean] [Flag] [def v:Flag b v]] export "M" {add: add/r mk: mk/r Flag: Flag}]  add (M.mk true) (M.mk true)	true	exporting the merged word transplants the extension into the importer's bare word
import module [def Flag (refine Boolean) def add fn [[a:Flag b:Flag] [Boolean] [a and b]] def mk fn [[b:Boolean] [Flag] [def v:Flag b v]] export "M" {add: add/r mk: mk/r Flag: Flag}]  add (M.mk true) (M.mk false)	false	the transplanted body runs (module-closure execution) — not a stub match
import module [def Flag (refine Boolean) def add fn [[a:Flag b:Flag] [Boolean] [a and b]] def mk fn [[b:Boolean] [Flag] [def v:Flag b v]] export "M" {add: add/r mk: mk/r Flag: Flag}]  M.add (M.mk true) (M.mk false)	false	the namespaced binding exists alongside the transplant (§4.9)
import module [def Flag (refine Boolean) def add fn [[a:Flag b:Flag] [Boolean] [a and b]] def mk fn [[b:Boolean] [Flag] [def v:Flag b v]] export "M" {add: add/r mk: mk/r Flag: Flag}]  add 1 2	3	locked native dispatch is untouched by a transplant
import module [def Flag (refine Boolean) def add fn [[a:Flag b:Flag] [Boolean] [a and b]] def mk fn [[b:Boolean] [Flag] [def v:Flag b v]] export "M" {add: add/r mk: mk/r Flag: Flag}]  typeof (M.mk true)	Flag	the module's minted type crosses the boundary with its values
import module [def Flag (refine Boolean) def add fn [[a:Flag b:Flag] [Boolean] [a and b]] def mk fn [[b:Boolean] [Flag] [def v:Flag b v]] export "M" {add: add/r mk: mk/r Flag: Flag}]  def Flag M.Flag  def x:Flag true  def y:Flag true  add x y	true	the importer constructs its OWN values via the exported type (alias annotation) and the transplanted signature dispatches on them
import module [def Flag (refine Boolean) def add fn [[a:Flag b:Flag] [Boolean] [a and b]] def mk fn [[b:Boolean] [Flag] [def v:Flag b v]] export "M" {mk: mk/r Flag: Flag}]  add (M.mk true) (M.mk true)	ERROR:signature_error	a module-body merge WITHOUT an export of the word is module-private — nothing crosses the boundary
import module [import module [def Flag (refine Boolean) def add fn [[a:Flag b:Flag] [Boolean] [a and b]] def mk fn [[b:Boolean] [Flag] [def v:Flag b v]] export "I" {add: add/r mk: mk/r Flag: Flag}] def Flag I.Flag def omk fn [[b:Boolean] [Flag] [def v:Flag b v]] export "O" {mk: omk/r}]  add (O.mk true) (O.mk true)	ERROR:signature_error	one level only: the TYPE crossed two boundaries (O.mk builds Flag-conforming values) but the word extension did not — this is also the firewall idiom
import module [import module [def Flag (refine Boolean) def add fn [[a:Flag b:Flag] [Boolean] [a and b]] def mk fn [[b:Boolean] [Flag] [def v:Flag b v]] export "I" {add: add/r mk: mk/r Flag: Flag}] def Flag I.Flag def omk fn [[b:Boolean] [Flag] [def v:Flag b v]] export "O" {mk: omk/r add: add/r}]  add (O.mk true) (O.mk true)	true	re-export is the opt-in for transitivity: the outer module re-exports the word and its importer gains the extension
import module [def add fn [[a:Date b:Date] [Boolean] [true]] export "M" {add: add/r}]  import module [def add fn [[a:Date b:Date] [Boolean] [false]] export "N" {add: add/r}]	ERROR:extend_conflict	the same unlocked tuple arriving from two different modules is a loud conflict (§4.4)
import module [def Flag (refine Boolean) def add fn [[a:Flag b:Flag] [Boolean] [a and b]] def mk fn [[b:Boolean] [Flag] [def v:Flag b v]] export "M" {add: add/r mk: mk/r Flag: Flag}]  def add fn [[a:(M.Flag) b:(M.Flag)] [Boolean] [a or b]]  add (M.mk true) (M.mk false)	true	a direct user def still replaces a transplanted tuple freely — the conflict rule is module-vs-module only
import module [def Flag (refine Boolean) def add fn [[a:Flag b:Flag] [Boolean] [a and b]] def mk fn [[b:Boolean] [Flag] [def v:Flag b v]] export "M" {add: add/r mk: mk/r Flag: Flag}]  undef add  add 1 2	3	undef pops the transplant; the base word is intact
import module [def Flag (refine Boolean) def add fn [[a:Flag b:Flag] [Boolean] [a and b]] def mk fn [[b:Boolean] [Flag] [def v:Flag b v]] export "M" {add: add/r mk: mk/r Flag: Flag}]  undef add  add (M.mk true) (M.mk true)	ERROR:signature_error	undef pops the transplant; the transplanted tuple is gone (negative twin)
#
# ─────────────────────────────────────────────────────────────────────
# §8  extending module-provided words
import "aql:math-util"  def sqrt MathUtil.sqrt  def sqrt fn [[s:String] [Integer] [7]]  sqrt "x"	7	a native-module wrapper rebound to a bare name carries LOCKED sigs, so def merges onto it (§4.1 — module words count); no user-type rule here, the word is not core
