# tokens	expected	note
# =====================================================================		
# Principle: List literals are inert at tokenize time; auto-evaluation		
# happens later (at consume or end-of-Run).		
# =====================================================================		
#		
# Per LANGREF.10.md ('Lists are quotation'):		
#		
#   'Square brackets create a list of *unevaluated* values. Words		
#    inside a list are stored literally — they are not executed.'		
#		
# This is a property of the TOKENIZER / PARSER: `[ 1 addq 2 ]` produces		
# a 3-element list `[Integer(1), Word(addq), Integer(2)]` that is NOT		
# `[Integer(3)]`. Evaluation happens later via two engine passes:		
#		
#   (a) When the list is consumed as an argument to a word whose sig		
#       does NOT mark that slot NoEvalArgs, execMatch runs autoEvalList		
#       on the list before invoking the handler.		
#   (b) When the list is residual on the stack at end-of-Run,		
#       autoEvalStack drains it via autoEvalList.		
#		
# Both paths produce the SAME shape of output: a list whose contents		
# are the residual stack of running the original elements through a		
# fresh sub-engine.		
#		
# Rules being asserted		
# --------------------		
# 1. A bare list at end-of-Run auto-evaluates: `[1 addq 2]` → `[3]`.		
# 2. A list consumed by a word with a `[List]` sig is auto-evaluated		
#    BEFORE the handler sees it. So `lengthq [1 addq 2]` → 1 (the		
#    auto-eval reduces to a 1-element list).		
# 3. The `quote` word sets Quoted=true on a list, suppressing both		
#    auto-eval paths. `lengthq quote [1 addq 2]` would expose the raw		
#    3-element form — but in the spec subset `quote` paren-wrap is		
#    needed (see autoeval.tsv for the wrapped forms).		
# 4. Bare words never degrade to data. A list element that fails to
#    auto-evaluate — an undefined name, or a valid name dispatched
#    with the wrong arity — is an ERROR, in BOTH the consumed-arg
#    (execMatch) and end-of-Run (autoEvalStack) paths. So both
#    `lengthq [addq]` and `[addq]` alone error with signature_error.
#    To keep a word as literal data, use `foo/q` (atom) or `quote`
#    (a literal word list). This closed the silent-swallow footgun
#    that previously let a typo inside a consumed list pass through.
# 5. Lists inside lists are auto-evaluated recursively at end-of-Run
#    via the autoEvalStack drain (which calls autoEvalList per top-
#    level Eval list — but a subq-list inside a list element is
#    evaluated by the sub-engine running over the parent list's
#    elements, since the sub-engine is a full Run).		
#		
# Why this matters
# ----------------
# Auto-eval is the bridge from 'lists are data' to 'lists are code'.
# It removes the need for an explicit `do` in the common case while
# preserving the option to suppress (via `quote`).
#
# Auto-eval errors propagate uniformly (consumed and residual): a
# bare word is always a name to resolve, never a silent fallback to
# its literal token. The earlier execMatch swallow — a typo footgun
# that left the typo in the consumed list — was removed.
		
# === Test fixtures (defined in eng/go/spec_test.go::registerSpecWords) ===		
#   addq     — [Number Number] forward-prec — args[1] + args[0] (decimal contagion)		
#   firstq   — [List] forward-prec — first element or None for empty list		
#   lengthq  — [List] forward-prec — list length as Integer		
# === end fixtures ===		
		
		
# 1. Bare list at end-of-Run auto-evaluates.		
[ 1 addq 2 ]	[3]	auto-eval at end of Run reduces [1, addq, 2] to [3]
[ 1 2 3 ]	[1 2 3]	pure literals — auto-eval is a no-op
[ ( 1 addq 2 ) ]	[3]	paren inside list — paren pre-evaluates to 3, list residue is [3]
[ 1 addq 2 1 addq 3 ]	[1 6]	the body runs as ONE program: 1 addq 2 → 3 leaves [1,3]; second addq: forward 3 + stack top 3 → 6 (the 1 stays as residue). Result list is [1, 6]. Demonstrates that a 'list body' is a single program, not isolated expressions.
[ ]	[]	empty list — autoEvalList short-circuits
		
# 2. Consumed list auto-evaluates BEFORE the handler.		
lengthq [ 1 addq 2 ]	1	auto-eval [1 addq 2] → [3]; lengthq sees 1-element list
firstq [ 1 addq 2 ]	3	auto-eval reduces; first returns the single element
lengthq [ 1 2 3 ]	3	pure literals consume as-is
		
# 4. Consumed-list auto-eval errors PROPAGATE (bare words never
# degrade to data — use foo/q or quote for literal word data).
lengthq [ addq ]	ERROR:signature	bare addq in body errors (0-arg, needs 2); propagates through lengthq
lengthq [ undef_xyz ]	ERROR:undefined	undefined word in body propagates — no silent fallback
lengthq [ 1 addq ]	ERROR:	addq waits for forward args, none follow; insufficient-args error propagates
		
# 5. Bare residual list errors propagate at end-of-Run (same as #4).
[ addq ]	ERROR:signature	bare list residual; autoEvalStack runs sub-engine; bare addq errors; propagates (same as the consumed-list path)
[ 1 addq ]	ERROR:	bare list with insufficient args for inner addq — propagates
[ unknown_xyz ]	ERROR:undefined	undefined word in residual list propagates
		
# 3. quote suppresses auto-eval. (Need paren wrap because quote is a		
# function word — see autoeval.tsv for the rationale.)		
lengthq ( quote [ 1 addq 2 ] )	3	quoted list keeps the 3 raw tokens
firstq ( quote [ 1 addq 2 ] )	1	first element of the quoted list is the integer 1
		
# 6. Nested lists at end-of-Run.		
[ [ 1 addq 2 ] ]	[[3]]	outer list residual evaluates; inner list also evaluates (via sub-engine running over outer's elements)
[ [ 1 ] [ 2 ] ]	[[1] [2]]	pure-literal inner lists pass through
#
# --- def binding and fn-param inertness (the binding-inertness contract) ---
# `def NAME [list]` evaluates the list VALUE at binding (like every plain
# arg slot); the reference then pushes inert data. A LIST passed to an fn
# param is quoted at frame binding ("treated as data values, not expanded
# as code bodies" — core_helpers.go), and the flag survives the return.
def b [ 1 2 ] b	[1 2]	plain def binds the evaluated list; the reference is inert data
def b [ 1 2 ] b lengthq	2	the bound list is a data value the next word consumes
def b [ 1 addq 2 ] b	[3]	the eval-list runs at def time and binds the collected [3]
def b [ 1 2 ] b get 0	1	indexing the def-resolved list
def b [ 1 2 ] do b	1 2	do splices the bound data list as a code body on request
def f (fn [ [ x:List ] [ List ] [ x ] ]) f [ 1 2 ]	(quote [1 2])	a list param is quoted at binding; the flag survives the return
def f (fn [ [ x:List ] [ List ] [ x ] ]) (f [ 1 2 ]) lengthq	2	the quoted return is still a list value for the next word
def f (fn [ [ x:Any ] [ Any ] [ x ] ]) f [ 1 2 ]	(quote [1 2])	Any-typed params quote list args the same way
def f (fn [ [ x:List ] [ Integer ] [ x lengthq ] ]) f [ 1 2 ]	2	the quoted param stays operable inside the body
