# tokens	expected	note
# List literals: `[` and `]` collect tokens between them into a		
# TList Value with elements as-is. The spec subset does NOT evaluate		
# list contents — `[ 1 addq 2 ]` is a 3-element list, not a singleton		
# `[3]`. (Auto-evaluation is a separate engine feature documented in		
# CLAUDE.md 'Quotation System'; not yet ported.)		
#		
# Test words:		
#   lengthq — sig [List]. Returns the element count as Integer.		
#   first  — sig [List]. Returns the first element, or None on empty.		
		
# === Test fixtures (defined in eng/go/spec_test.go::registerSpecWords) ===		
#   firstq   — [List] forward-prec — first element or None for empty list		
#   lengthq  — [List] forward-prec — list length as Integer		
# === end fixtures ===		
		
[ 1 2 3 ]	[1 2 3]	bare list literal renders as space-separated elements
[ ]	[]	empty list
lengthq [ 1 2 3 ]	3	lengthq consumes the list, returns its size
lengthq [ ]	0	empty list has length 0
lengthq [ 'a' 'b' ]	2	mixed element types — only count is checked
firstq [ 7 8 9 ]	7	first returns the head element
firstq [ 'hello' ]	'hello'	first on a single-element list
[ 1 2 ] lengthq	2	all-stack form
[ [ 1 2 ] [ 3 4 5 ] ]	[[1 2] [3 4 5]]	nested list literals
lengthq [ [ 1 ] [ 2 ] [ 3 ] [ 4 ] ]	4	length of a list of lists
