# tokens	expected	note
# Interpolated strings — backtick-delimited templates with `${...}`
# expression segments.
#
# The parser (eng/go/parser/parse.go::convertInterpGroup) produces a
# plain TString when no `${}` segments are present, and a TInterpString
# (a slice of InterpPart) when at least one is. The engine's Run loop
# dispatches TInterpString via evalInterpString (engine.go), which
# walks each part:
#   • literal segments are concatenated verbatim;
#   • expression segments are evaluated in a sub-engine sharing the
#     parent registry, and every residual value is stringified via
#     ValToString and concatenated to the output buffer.
# The whole interpolation collapses to a single TString that then
# flows through stepLiteral.
#
# Note: the spec renderer wraps TString values in single quotes — so
# an evaluation that produces the string "x" shows as 'x' in the
# expected column.

# === Test fixtures (defined in eng/go/spec_test.go::registerSpecWords) ===
#   addq, subq, mulq  — number ops (handler returns b+a etc.)
#   negq              — number negation
#   concatq           — string concat (handler returns args[1] + args[0])
# === end fixtures ===


# --- Plain (no-interpolation) form ---

`hello`	'hello'	backtick with no ${} parses to a plain TString, not InterpString
``	''	empty backtick yields the empty TString


# --- Single expression ---

`${42}`	'42'	integer in interp segment
`${'foo'}`	'foo'	string-typed value loses its quotes when stringified into the result
`${true}`	'true'	boolean → "true"
`${false}`	'false'	boolean → "false"
`${negq 5}`	'-5'	negative integer
`${1 addq 2}`	'3'	infix arithmetic in segment
`${addq 1 2}`	'3'	prefix form yields the same result (forward-collected args)
`${quote bar}`	'bar'	atom stringifies to its name


# --- Literal + interpolation mixes ---

`value=${42}`	'value=42'	literal prefix + interp
`${42} units`	'42 units'	interp + literal suffix
`before ${1 addq 2} after`	'before 3 after'	literal-interp-literal
`${1} and ${2}`	'1 and 2'	two interps with literal between
`${1}${2}`	'12'	adjacent interps, no separator
`pre${1}mid${2}post`	'pre1mid2post'	multiple interps flanked by literals


# --- Multi-value residuals ---
# A `${...}` expression that leaves multiple values on the sub-engine's
# stack stringifies each in order and concatenates them — no separator.

`${1 2 3}`	'123'	three literals → "1"+"2"+"3"
`${'a' 'b' 'c'}`	'abc'	three strings concatenated
`${'x' 1 true}`	'x1true'	mixed types stringified together


# --- Variable interpolation through the shared registry ---
# evalInterpString creates the sub-engine with the parent's registry,
# so def'd names resolve through the normal DefStack lookup.

def x 5 `value=${x}`	'value=5'	def installs x; interp resolves it
def x 7 def y 11 `${x addq y}`	'18'	two defs, used together in one expression
def name 'Ada' `hello ${name}`	'hello Ada'	string-valued def, no quotes appear in output


# --- Composition with other words ---
# The final TString flows through stepLiteral, so an interp is a
# first-class value on the tape — composable with everything else.

`hello ${42}` concatq ' world'	'hello 42 world'	interp result becomes the stack arg for concatq
`a${1}` `b${2}` concatq	'a1b2'	postfix concatq over two pre-evaluated interps (sig=[top, bottom] → 'a1'+'b2')


# --- Empty / whitespace-only literal segments ---

`${1}   ${2}`	'1   2'	multi-space literal preserved verbatim
` ${42}`	' 42'	leading literal space preserved
`${42} `	'42 '	trailing literal space preserved


# --- Error: control-flow signal raised inside an interp ---
