# boru Language Specification: the higher-order audit's §1 programs, pinned
# Format: input<TAB>expected<TAB>description
#
# Provenance: design/HIGHER-ORDER-FUNCTIONS.0.md §1 ("What works — the
# evidence"), the 2026-08-19 capability audit re-assessed 2026-08-21. Its
# programs were transcripts — run on audit days, quoted verbatim, and
# re-checked only when someone re-ran the note. These rows make the §1
# evidence a standing gate: the interpreter oracle re-checks every value on
# every `make test`, and the compile ledger (frontier_spec_test.go) pins
# which programs the compiler still refuses and why — mostly the audit's
# §5.8 "body result of unknown provenance" class over curried combinator
# bodies; the parser rows (NUR087's branch-local-def false positive) and
# the rows that def-bind a COMPUTED fn (`def fact (fgen fgen/v)`,
# `def h (compose …)`) refuse one stage earlier, at check diagnostics.
# NUR089 (the inline-lambda call site) is a CLI-check property of the B
# row, noted in its description — the compile lane refuses that row in
# the provenance class before the check shape matters. Graduation per
# row = the refusal clears → delete its ledger entry.
#
# The §1.4 divergences — Z, and the naive Y no strict language can run —
# are NOT pinned: no budget bounds them (a 200 000-step CLI budget ran 30 s
# without tripping, and an in-process run is eventually killed by memory),
# so a test would hang the suite. What IS pinned is the deterministic §5.4
# application-context rule that makes Z's λv guard inert — the §7 rows.
#
# ─────────────────────────────────────────────────────────────────────
# §1  the classical combinator bases (audit §1.1)
def kk x:Any => [y:Any => [x]] end def ss f:Function => [g:Function => [x:Any => [(f x) (g x)]]] end def ii ((ss kk/v) kk/v) end (ii 42)	42	I = S K K, derived: identity over an Integer
def kk x:Any => [y:Any => [x]] end def ss f:Function => [g:Function => [x:Any => [(f x) (g x)]]] end def ii ((ss kk/v) kk/v) end (ii 'hello')	'hello'	the derived identity is polymorphic (String)
def bb f:Function => [g:Function => [x:Any => [f (g x)]]] end (((bb (n:Integer => [mul n 2])) (n:Integer => [add n 3])) 4)	14	B with inline-lambda args: runs to 14; the CHECK failure at this call site is NUR089
def bb f:Function => [g:Function => [x:Any => [f (g x)]]] end def d fn n:Integer Integer [mul n 2] end def e fn n:Integer Integer [add n 3] end (((bb d/v) e/v) 4)	14	the same B with named /v references checks clean — the call-site pair of NUR089
def cc f:Function => [x:Any => [y:Any => [(f y) x]]] end def add2 a:Integer => [b:Integer => [add a b]] end (((cc add2/v) 1) 10)	11	C flips the argument order
def kk x:Any => [y:Any => [x]] end ((kk 7) 99)	7	K drops its second argument
def ww f:Function => [x:Any => [(f x) x]] end def add2 a:Integer => [b:Integer => [add a b]] end ((ww add2/v) 4)	8	W duplicates its argument
#
# §2  Church encodings (audit §1.2)
def czero f:Function => [x:Any => [x]] end def csucc n:Function => [f:Function => [x:Any => [f ((n f/v) x)]]] end def toint n:Function => [((n (k:Integer => [add k 1])) 0)] end def c1 (csucc czero/v) end def c2 (csucc c1/v) end def c3 (csucc c2/v) end (toint c3/v)	3	Church numeral three decodes
