# AQL Language Specification: Scalar/Micron — structured scalars
# Format: input<TAB>expected<TAB>description
#
# Scalar/Micron is the structured-scalar family: values that behave as
# scalars (content equality, immutable, orderable) yet are object-like,
# exposing named read-only properties. Pathon (formerly Scalar/Path),
# Emailon, and Urlon are the builtin leaves; user Microns mint via
# `def Baron refine Micron {fields}`. Every type under Micron must have
# a name ending in the suffix "on" (one-directional rule — existing -on
# names elsewhere in the lattice are untouched).
#
# ─────────────────────────────────────────────────────────────────────
# §0  Hard rename guard — the bare `Path` name is GONE. `Scalar/Path`
#     was moved into the family as `Scalar/Micron/Pathon` (keeping
#     FixedID 47; wire-identical). The old name must not resolve.
make Path 'a/b'	ERROR:undefined_word	Path was hard-renamed to Pathon
typeof Pathon	Micron
typeof Micron	Scalar
pathof Pathon	[Scalar Micron Pathon]
make Pathon 'a/b' typeof	Pathon

# ─────────────────────────────────────────────────────────────────────
# §1  Construction — Emailon. String form (a plain user@host address)
#     and map form ({user host}) build the SAME value: the map form
#     re-renders through the string validator, so there is exactly one
#     validation path.
make Emailon 'alice@example.com'	alice@example.com
make Emailon {user:'alice' host:'example.com'}	alice@example.com
make Emailon 'alice@example.com' typeof	Emailon
pathof Emailon	[Scalar Micron Emailon]
# paired negatives — each malformed shape has its own error
make Emailon 'not-an-email'	ERROR:invalid email address	no @ at all
make Emailon 'a@'	ERROR:invalid email address	empty host
make Emailon 'Alice <a@b.c>'	ERROR:plain user@host	display-name form rejected
make Emailon 42	ERROR:Emailon source must be a string or map	wrong source type
make Emailon {user:'a'}	ERROR:requires both user and host	missing field
make Emailon {user:'a' host:'b.c' extra:'x'}	ERROR:Emailon has no field extra	unknown field
make Emailon {user:'a' host:42}	ERROR:field host must be a String	wrong field type

# ─────────────────────────────────────────────────────────────────────
# §2  Construction — Urlon. Absolute URLs only (scheme://host…); the
#     map form re-renders to an href and re-parses it.
make Urlon 'https://x.com/a?q=1'	https://x.com/a?q=1
make Urlon {scheme:'https' host:'x.com' path:'/a' query:'q=1'}	https://x.com/a?q=1
make Urlon 'http://h.example:8080/p'	http://h.example:8080/p
make Urlon 'https://x.com/a?q=1' typeof	Urlon
pathof Urlon	[Scalar Micron Urlon]
# paired negatives
make Urlon 'not a url'	ERROR:absolute URL	no scheme/host
make Urlon '/relative/only'	ERROR:absolute URL	relative URLs rejected
make Urlon 99	ERROR:Urlon source must be a string or map	wrong source type
make Urlon {scheme:'https'}	ERROR:requires both scheme and host	missing host
make Urlon {scheme:'https' host:'x.com' bogus:'y'}	ERROR:Urlon has no field bogus	unknown field
make Urlon {scheme:'https' host:'x.com' port:'80'}	ERROR:port must be an Integer	port is Integer-typed

# ─────────────────────────────────────────────────────────────────────
# §2b Construction — Ipon. An IPv4 or IPv6 address, validated and
#     canonicalized via net.ParseIP; the {addr} map form re-parses.
make Ipon '203.0.113.7'	203.0.113.7
make Ipon {addr:'203.0.113.7'}	203.0.113.7
make Ipon '203.0.113.7' typeof	Ipon
pathof Ipon	[Scalar Micron Ipon]
def i (make Ipon '203.0.113.7') i.addr	'203.0.113.7'
def i (make Ipon '203.0.113.7') i.version	4	IPv4 → version 4
def i (make Ipon '2001:db8::1') i.version	6	IPv6 → version 6
# canonicalization — alternate spellings collapse to one stored addr
def i (make Ipon '2001:0DB8::1') i.addr	'2001:db8::1'	lowercased / zero-compressed
def i (make Ipon '::ffff:10.0.0.7') i.addr	'10.0.0.7'	IPv4-mapped renders as IPv4
(make Ipon '2001:0db8::1') eq (make Ipon '2001:db8::1')	true	content-equal after canonicalization
# paired negatives — net.ParseIP validates ranges and shape
make Ipon 'not-an-ip'	ERROR:invalid IP address	not an address
make Ipon '999.1.1.1'	ERROR:invalid IP address	octet out of range
make Ipon '10.0.0'	ERROR:invalid IP address	three octets is not IPv4
make Ipon 42	ERROR:Ipon source must be a string or map	wrong source type
make Ipon {addr:'x' extra:'y'}	ERROR:Ipon has no field extra	unknown field
make Ipon {addr:42}	ERROR:field addr must be a String	non-string field value
make Ipon {}	ERROR:Ipon requires an addr field	missing addr

# §2c Construction — Hoston. A host:port network authority with an
#     OPTIONAL port; IPv6 hosts bracket when a port is present.
make Hoston 'example.com:8080'	example.com:8080
make Hoston 'example.com'	example.com	port is optional
make Hoston {host:'example.com' port:443}	example.com:443	map form re-renders
make Hoston 'example.com:8080' typeof	Hoston
pathof Hoston	[Scalar Micron Hoston]
def h (make Hoston 'example.com:8080') h.host	'example.com'
def h (make Hoston 'example.com:8080') h.port	8080
def h (make Hoston 'example.com:8080') h.authority	'example.com:8080'	derived authority
(make Hoston 'example.com:80') has 'port'	true
(make Hoston 'example.com') has 'port'	false	host-only carries no port
def h (make Hoston '[::1]:8080') h.host	'::1'	IPv6 host unwrapped from brackets
make Hoston '[::1]:8080'	[::1]:8080	IPv6 re-bracketed with a port
make Hoston '2001:db8::1'	2001:db8::1	bare IPv6, no port
(make Hoston 'a.com:80') eq (make Hoston {host:'a.com' port:80})	true	content-equal
# a nominal newtype constructs through the leaf validator
def Serviceon refine Hoston end make Serviceon 'a.com:80' typeof	Serviceon
# paired negatives
make Hoston 'host:99999'	ERROR:0..65535	port out of range
make Hoston ''	ERROR:non-empty host	empty authority
make Hoston '1:2:3'	ERROR:not a valid IPv6	ambiguous multi-colon
make Hoston 42	ERROR:Hoston source must be a string or map	wrong source type
make Hoston {host:'a' extra:'y'}	ERROR:Hoston has no field extra	unknown field
make Hoston {port:80}	ERROR:Hoston requires a host	missing host
make Hoston {host:42}	ERROR:field host must be a String	non-string host
make Hoston {host:'a' port:'80'}	ERROR:field port must be an Integer	non-integer port
make Hoston 'example.com/path'	ERROR:must not contain	a host is not a URL
make Hoston {host:'a.com:80'}	ERROR:only allowed in an IPv6 literal	host field must not carry a port

# ─────────────────────────────────────────────────────────────────────
# §2d Construction — Semveron. A Semantic Versioning 2.0.0 version
#     (major.minor.patch with optional -prerelease and +build), ordered
#     by SemVer precedence. String form is the canonical validator; the
#     map form re-renders through it (prerelease/build as a String or a
#     List of identifiers).
make Semveron '1.2.3'	1.2.3
make Semveron '1.0.0-rc.1+build.5'	1.0.0-rc.1+build.5	prerelease and build
make Semveron '1.2.3+001'	1.2.3+001	build metadata keeps leading zeros
make Semveron '1.2.3-alpha-1.a-b'	1.2.3-alpha-1.a-b	hyphens are legal identifier chars
make Semveron {major:1 minor:2 patch:3}	1.2.3	map form
make Semveron {major:1 minor:0 patch:0 prerelease:'rc.1'}	1.0.0-rc.1	map prerelease as String
make Semveron {major:1 minor:0 patch:0 prerelease:['rc' '1'] build:['b' '5']}	1.0.0-rc.1+b.5	map prerelease/build as List
make Semveron '1.2.3' typeof	Semveron
pathof Semveron	[Scalar Micron Semveron]
def s (make Semveron '1.2.3-rc.1+b.2') s.major	1
def s (make Semveron '1.2.3-rc.1+b.2') s.minor	2
def s (make Semveron '1.2.3-rc.1+b.2') s.patch	3
def s (make Semveron '1.2.3-rc.1+b.2') s.prerelease	'rc.1'
def s (make Semveron '1.2.3-rc.1+b.2') s.build	'b.2'
def s (make Semveron '1.2.3-rc.1+b.2') s.prereleaseParts	['rc' '1']	derived — split identifiers
def s (make Semveron '1.2.3-rc.1+b.2') s.buildParts	['b' '2']	derived
def s (make Semveron '1.2.3-rc.1+b.2') s.release	'1.2.3'	derived — core only
def s (make Semveron '1.2.3-rc.1') s.stable	false	a prerelease is not stable
def s (make Semveron '1.2.3+b.2') s.stable	true	build-only is stable
def s (make Semveron '1.2.3+b.2') s.version	'1.2.3+b.2'	derived — full canonical render
(make Semveron '1.2.3') has 'prerelease'	false	absent optional field
def s (make Semveron '1.2.3') s.prerelease	None	miss reads none
(make Semveron '1.2.3+a') eq (make Semveron '1.2.3+a')	true	content-equal
(make Semveron '1.2.3+a') eq (make Semveron '1.2.3+b')	false	build participates in equality
# a nominal newtype constructs through the leaf validator
def Releaseon refine Semveron end make Releaseon '2.0.0' typeof	Releaseon
# paired negatives
make Semveron 'v1.2.3'	ERROR:leading 'v'	no v-prefix
make Semveron '1.2'	ERROR:core must be major.minor.patch	needs three fields
make Semveron '01.2.3'	ERROR:leading zero	no leading zeros in core
make Semveron '1.2.3-01'	ERROR:leading zero	no leading zeros in numeric prerelease
make Semveron '1.2.3-rc..1'	ERROR:empty identifier	no empty prerelease identifier
make Semveron '1.2.3-rc_1'	ERROR:invalid character	underscore is not allowed
make Semveron '1.2.3-'	ERROR:empty identifier	trailing '-' with no prerelease
make Semveron '1.2.3+'	ERROR:empty identifier	trailing '+' with no build
make Semveron 42	ERROR:Semveron source must be a string or map	wrong source type
make Semveron {major:1 minor:2}	ERROR:requires major, minor and patch	missing patch
make Semveron {major:1 minor:2 patch:3 extra:'y'}	ERROR:Semveron has no field extra	unknown field
make Semveron {major:-1 minor:0 patch:0}	ERROR:must be non-negative	negative core
make Semveron {major:'1' minor:2 patch:3}	ERROR:field major must be an Integer	non-integer core
make Semveron {major:1 minor:2 patch:3 prerelease:42}	ERROR:must be a String or a List	bad prerelease type

# ─────────────────────────────────────────────────────────────────────
