# tokens	expected	note
# =====================================================================		
# make — universal constructor for typed values		
# =====================================================================		
# `make TARGET data` is AQL's general-purpose value constructor. The		
# target dictates the construction strategy:		
#		
#   make Type v          coerce v to Type (parse / cast)		
#   make Type {opts} v   scalar with options (e.g. Pathon { abs:true })		
#   make Pathon s | [parts]      build a Pathon from a string or list		
#   make Options {map}         wrap a map as an Options instance		
#   make Type {data}     instantiate a named class instance — see object.tsv		
#   make RecordType {data}     instantiate a named record — see record.tsv		
#		
# Dispatch is order-agnostic for the two-arg form: the matcher		
# detects which side carries the type literal and which carries the		
# data, so `make Integer '5'` and `'5' make Integer` both work.		
#		
# This file covers the parts of `make` that the aqleng-only kernel		
# can demonstrate without relying on the production `record` /		
# `class` constructor words. The named-type instantiation rows		
# live in spec/prod/object.tsv, record.tsv, and resource.tsv.		
		
		
# ====================================================================		
# 1. Scalar coercion — types as targets		
# ====================================================================		
# Each builtin scalar type accepts strings (parsed) and the matching		
# concrete type (passes through unchanged).		
		
# String target — every value flows through ValToString.		
make String 42	'42'	Integer → String via decimal text
make String 3.14	'3.14'	Float → String
make String true	'true'	Boolean → String
make String 'hi'	'hi'	String passthrough
		
# Integer target — parses decimal text; truncates floats.		
make Integer '42'	42	String → Integer
make Integer '-7'	-7	negative literal
make Integer 42	42	passthrough
		
# Number target — same parser as Integer (Number is the supertype).		
make Number '42'	42	parsed as Integer (the most-specific Number subtype)
		
# Float target — strict float parse.		
make Float '3.14'	3.14	
make Float '-2.5'	-2.5	
make Float 7	7.0	Integer→Float goes through ValToString → ParseFloat → 7.0
		
# Boolean target — literal forms, numeric, fallback to non-empty.		
make Boolean 'true'	true	
make Boolean 'false'	false	
make Boolean 'yes'	true	non-'true'/'false' non-empty → true
make Boolean ''	false	empty string → false
make Boolean 1	true	non-zero number → true
make Boolean 0	false	zero → false
make Boolean true	true	passthrough
		
# Atom target — string becomes an Atom of the same name.		
make Atom 'foo'	foo/q
make Atom 'Bar123'	Bar123/q
		
# ====================================================================		
# 2. Order-agnostic two-arg dispatch		
# ====================================================================		
# `make` flips its arg pair when only one side is type-like. This		
# lets the same expression read naturally from either direction.		
		
5 make Integer	5	stack-prefix form; 5 sits behind, Integer arrives forward
'42' make Integer	42	String coerces via the same path as the prefix form
make Integer 5	5	bare prefix
3.14 make Float	3.14	
'hi' make String	'hi'	
		
# ====================================================================		
# 3. typeof of the constructed value		
# ====================================================================		
# `make` produces a value whose VType matches the target type — the		
# converted result tags itself with the requested type, not the		
# input's type.		
		
