# AQL Language Specification: the aql:vault module (host-vault bridge words)
# Format: input<TAB>expected<TAB>description
#
# Loadable module bridging AQL to the host's secret vault
# (design/VAULT-TUI-PORT.0.md §3). The words are reached only after
# `import`, under the `Vault` namespace: `import "aql:vault" Vault.word args`.
#
#   Vault.status / secrets / secret / reveal      — reads
#   Vault.add / rotate / remove / rename / …      — mutations
#   Vault.grant / revoke / passwords / …          — access + passwords
#   Vault.verify / scan / history / restore / …   — maintenance
#   Vault.vaults / switch / create / …            — multi-vault index
#   Vault.copy                                    — clipboard
#
# The spec harness registers NO vault backend (there is no vault on CI),
# so every reachable word pins the first-class no_backend error, and the
# usage contract is pinned BEFORE the backend lookup — malformed
# arguments raise vault_usage headlessly. Live happy paths run in Go
# against a scripted fake (lang/go/modules/vault_test.go), exactly how
# module-tui.tsv leaves live terminals to Go.
#
# ─────────────────────────────────────────────────────────────────────
# §1  import binds the Vault namespace
import "aql:vault" convert List Vault.$module	['Vault']	import binds the Vault namespace
#
# §2  negative — unbound without import
Vault.status	ERROR:undefined_word	`Vault` is unbound without `import`
#
# §3  no backend registered → the first-class no_backend error, across
#     the word groups (reads, reveal, mutation, settings, multi-vault,
#     clipboard)
import "aql:vault"  Vault.status	ERROR:no vault backend registered	status requires a registered backend
import "aql:vault"  Vault.secrets	ERROR:no vault backend registered	secrets requires a registered backend
import "aql:vault"  Vault.reveal "stripe"	ERROR:no vault backend registered	reveal requires a registered backend
import "aql:vault"  Vault.add {alias: "a" value: "k"}	ERROR:no vault backend registered	a VALID add reaches the backend lookup
import "aql:vault"  Vault.lock	ERROR:no vault backend registered	lock requires a registered backend
import "aql:vault"  Vault.vaults	ERROR:no vault backend registered	vaults requires a registered backend
import "aql:vault"  Vault.copy "text"	ERROR:no vault backend registered	copy requires a registered backend
import "aql:vault"  Vault.scan ["src"]	ERROR:no vault backend registered	a valid scan reaches the backend lookup
import "aql:vault"  Vault.restore 3	ERROR:no vault backend registered	a valid restore reaches the backend lookup
import "aql:vault"  Vault.needs-passphrase	ERROR:no vault backend registered	needs-passphrase requires a registered backend
import "aql:vault"  Vault.authed	ERROR:no vault backend registered	authed requires a registered backend
import "aql:vault"  Vault.authenticate "p"	ERROR:no vault backend registered	authenticate requires a registered backend
import "aql:vault"  Vault.status-text	ERROR:no vault backend registered	status-text requires a registered backend
import "aql:vault"  Vault.providers-text	ERROR:no vault backend registered	providers-text requires a registered backend
import "aql:vault"  Vault.config-text	ERROR:no vault backend registered	config-text requires a registered backend
