# tokens	expected	note
# Barrier dispatch. Each Signature declares BarrierPos B — the count		
# of leading args (sig[0..B-1]) that MAY be filled from forward tokens,		
# in source order; the rest (sig[B..N-1]) always come from the stack,		
# top-down. So B=0 is legacy stack-only, B=N is legacy forward-prec,		
# and 0 < B < N mixes the two. Call-site modifiers override B:		
#   /s  → B becomes 0 (all stack).		
#   /f  → B becomes N (all forward) AND is strict: if the forward scan		
#         can't fill every slot the sig is rejected — no stack fallback.		
#   /K  → only consider overloads whose total arg count is K.		
#   /Kf, /Ks → the /K arity filter combined with /f or /s.		
# The handler always sees args in signature order: args[0] is whatever		
# bound to sig[0], args[1] to sig[1], … regardless of which side it		
# came from. (Plain /s and /f on a 2-arg forward-prec word are also		
# covered in force.tsv; this file widens to arities 0..7, off-centre		
# barriers, the /K filter, and combinations.)		
#		
# === Test fixtures (defined in eng/go/spec_test.go::registerSpecWords) ===		
#   nilq    — []                   (no barrier)   → 'nil'		
#   negq    — [Number]             B=1            → -a		
#   addq    — [Number Number]      B=2 (fwd-prec) → a+b   (decimal contagion)		
#   subq    — [Number Number]      B=2 (fwd-prec) → b-a		
#   pairq   — [Integer | Integer]  B=1            → 'a:b'		
#   tri1q   — [Integer ×3]         B=1            → 'a,b,c'		
#   tri2q   — [Integer ×3]         B=2            → 'a,b,c'		
#   tripq   — [Integer ×3]         B=3            → 'a,b,c'		
#   quad1q  — [Integer ×4]         B=1            → 'a,b,c,d'		
#   quadq   — [Integer ×4]         B=2            → 'a,b,c,d'		
#   quad3q  — [Integer ×4]         B=3            → 'a,b,c,d'		
#   quintq  — [Integer ×5]         B=3            → 'a,b,c,d,e'		
#   hexq    — [Integer ×6]         B=3            → 'a,b,c,d,e,f'		
#   septq   — [Integer ×7]         B=4            → 'a,b,c,d,e,f,g'		
#   flexq   — [Integer]→'one:a'  |  [Integer Integer]→'two:a,b'  (both B=N)		
# === end fixtures ===		
		
# ── arity 0 ─────────────────────────────────────────────────────		
nilq	'nil'	a 0-arg word fires immediately, consuming nothing
1 nilq	1 'nil'	0-arg word leaves the prior stack value untouched
nilq 1	'nil' 1	0-arg word consumes no forward token; 1 runs after
nilq nilq	'nil' 'nil'	two independent 0-arg calls
nilq/0	'nil'	/0 selects the 0-arg overload (matched via the fallback path)
1 nilq/0	1 'nil'	/0, stack value untouched
nilq/1	ERROR:signature_error	/1 — nilq has no 1-arg overload
		
# ── arity 1 — negq, B=1 (the single arg is forward-eligible) ────		
negq 5	-5	forward token fills sig[0]
5 negq	-5	no forward token → sig[0] from the stack top
negq/f 5	-5	/f → B=1 (=N): forward fills sig[0]
5 negq/f	ERROR:signature_error	/f is strict: forward scan finds no token, sig[0] stays unfilled
negq/s 5	ERROR:signature_error	/s → B=0: sig[0] must come from the (empty) stack
5 negq/s	-5	/s → B=0: sig[0] from the stack
5 negq/s 7	-5 7	/s closes the forward window, so 7 is not consumed; runs after
negq/1 5	-5	/1 picks the (only) 1-arg overload; B=1 default
5 negq/1	-5	/1, sig[0] from the stack
negq/1f 5	-5	/1 + /f
5 negq/1f	ERROR:signature_error	/1 + /f strict: nothing forward to fill sig[0]
negq/1s 5	ERROR:signature_error	/1 + /s: empty stack
5 negq/1s	-5	/1 + /s: sig[0] from the stack
negq/2 5	ERROR:signature_error	/2 — negq has no 2-arg overload
		
# ── arity 2, barrier 1 — pairq [Integer | Integer] ─────────────		
2 pairq 5	'5:2'	stack=[2], forward=[5]: sig[0]=5 (fwd), sig[1]=2 (stk) → '5:2'
2 5 pairq	'5:2'	no forward token → both from stack: sig[0]=top=5, sig[1]=2
pairq 5 2	ERROR:signature_error	forward limit=1 fills sig[0]=5; sig[1] needs the stack, which is empty
3 7 pairq 5	3 '5:7'	stack=[3,7], forward=[5]: sig[0]=5 (fwd), sig[1]=top=7 (stk); 3 dangles
pairq/f 5 2	'5:2'	/f → B=2: both from forward, sig[0]=5, sig[1]=2
2 pairq/s 5	ERROR:signature_error	/s → B=0: only one stack value but two are needed
2 5 pairq/s	'5:2'	/s → B=0: both args from the stack
